groupId,artifactId
org.apache.commons,commons-vfs2
javax.money,money-api
io.dropwizard.metrics,metrics-graphite
edu.stanford.nlp,stanford-corenlp
com.github.spotbugs,spotbugs-annotations
org.eclipse.jdt.core.compiler,ecj
org.slf4j,slf4j-simple
tk.mybatis,mapper
com.marswork,marswork-core
com.qwazr,qwazr-server
com.univocity,univocity-parsers
com.atlassian.commonmark,commonmark-ext-gfm-tables
com.dropbox.core,dropbox-core-sdk
org.springframework.ws,spring-ws-core
io.jsonwebtoken,jjwt-impl
org.apache.cxf,cxf-rt-rs-extension-providers
org.netbeans.api,org-netbeans-core-multiview
org.webjars.npm,react
org.noear,solon.view.thymeleaf
org.fusesource.leveldbjni,leveldbjni-linux64
org.springframework.social,spring-social-core
org.lwjgl.lwjgl,lwjgl_util
org.netbeans.api,org-netbeans-modules-java-source
name.neuhalfen.projects.crypto.bouncycastle.openpgp,bouncy-gpg
org.im4java,im4java
org.jobrunr,jobrunr
org.kohsuke.stapler,json-lib
com.auth0,jwks-rsa
org.jmonkeyengine,jme3-bullet
net.oschina.durcframework,fastmybatis-core
com.vaadin.polymer,vaadin-gwt-polymer-elements
com.alibaba.csp,sentinel-core
com.github.rub-nds,WS-Attacker-Library_Signature_Wrapping
info.debatty,java-lsh
com.amazonaws,aws-java-sdk-dynamodb
org.elasticsearch.client,transport
org.apache.omid,omid-metrics
org.jmonkeyengine,jme3-blender
com.google.zxing,core
me.tongfei,progressbar
javax.faces,jsf-impl
org.apache.poi,poi-ooxml
org.testcontainers,oracle-xe
net.kyori,adventure-platform-api
axis,axis-jaxrpc
io.github.interacto,interacto-javafx
io.papermc,paperlib
javax.persistence,javax.persistence-api
com.googlecode.catch-exception,catch-exception
org.jboss.logging,jboss-logging
org.jetbrains.kotlin,kotlin-stdlib
org.powermock,powermock-api-mockito
org.apache.hadoop,hadoop-aws
com.mrallen,tonto
com.googlecode.aviator,aviator
com.github.TownyAdvanced,Towny
com.jcraft,jsch.agentproxy.sshagent
de.is24.common,appmon4j-testutil
com.hierynomus,smbj
com.github.binarywang,weixin-java-pay
eu.bitwalker,UserAgentUtils
net.milkbowl.vault,Vault
org.freemarker,freemarker
com.arangodb,jackson-dataformat-velocypack
fr.neatmonster,nocheatplus
io.netty,netty-all
org.projectlombok,lombok
com.cybermkd,ICEREST
me.vagdedes.spartan,SpartanAPI
com.github.cisco-system-traffic-generator,trex-packet-editor
com.daemitus.deadbolt,deadbolt
com.fasterxml.jackson.core,jackson-module-jaxb-annotations
tornado,tornado-benchmarks
leapmotion,leap
org.apache.samza,samza-kv_2.11
org.glassfish.hk2,guice-bridge
org.safehaus.jug,jug-asl
jakarta.transaction,jakarta.transaction-api
org.springframework.boot,spring-boot-starter-jdbc
com.sun,attach
jakarta.json,jakarta.json-tck-tests
ch.cyberduck,ctera
ru.r2cloud,jradio
org.mybatis,mybatis
org.noear,solon.extend.sessionstate.local
com.jcabi,jcabi-log
es.us.isa,RandomRegexTurtle
org.glassfish.grizzly,grizzly-http-servlet-server
com.github.petitparser,petitparser-core
org.kramerlab,autoencoder
com.orangesignal,orangesignal-csv
mc.alk,BattleArena
org.dbflute.utflute,utflute-lasta-di
ch.cyberduck,hubic
org.netbeans.api,org-openide-util-lookup
com.teamdev.jxbrowser,jxbrowser-win64
javax.annotation,jsr250-api
de.simonsator,partyandfriends
org.apache.cxf,cxf-rt-rs-service-description-swagger
ch.cyberduck,webdav
org.apache.rocketmq,rocketmq-tools
net.sourceforge.cpdetector,cpdetector
com.sun.activation,javax.activation
org.spigotmc,spigot
org.jenkins-ci.plugins.aws-java-sdk,aws-java-sdk-ec2
